"id","name","current_sku","next_sku","current_category_id","current_category","target_category_id","target_category","sku_change","category_change"
"46693","PPR Elbow 20mm 90 Degree Fitting 10 Pack","VOH-031","HSP-031","1681","Elbows","1585","Parts","yes","yes"
"46694","Total Reciprocating Saw 900W Variable Speed with 2 Blades","VOH-020","HSP-020","1682","Reciprocating Saws","1657","Power Tools","yes","yes"
"46695","Total Jig Saw 650W Variable Speed Orbital Action","VOH-015","HSP-015","1683","Jig Saws","1657","Power Tools","yes","yes"
"46696","Total Rotary Hammer 800W 26mm SDS Plus 3 Functions","VOH-021","HSP-021","1685","Rotary Hammers","1657","Power Tools","yes","yes"
"46697","Standard Two Way Washing Machine Water Inlet Electric Solenoid Valve","VOH-039","HSP-039","1687","Laundry Accessories & Appliances","1686","Laundry","yes","yes"
"46698","Total Work Gloves Cut Resistant Level 5 Anti-Vibration","VOH-027","HSP-027","1688","Work Gloves","1671","Safety Tools","yes","yes"
"46699","Total Safety Helmet Hard Hat White EN397 Certified","VOH-012","HSP-012","1689","Hard Hats","1671","Safety Tools","yes","yes"
"46700","Premier 28L Cooler Box Chiller Box for Fishing Camping Outdoor","VOH-037","HSP-037","1691","Cooler Boxes","1677","Sports & Outdoors","yes","yes"
"46701","Total Angle Grinder 850W 115mm with Safety Guard","VOH-002","HSP-002","1692","Angle Grinders","1657","Power Tools","yes","yes"
"46702","Total Angle Grinder 1200W 125mm 3 Discs Included","VOH-001","HSP-001","1692","Angle Grinders","1657","Power Tools","yes","yes"
"46703","Total Spirit Level 60cm Aluminium with 3 Vials","VOH-024","HSP-024","1693","Spirit Levels","1655","Hand Tools","yes","yes"
"46704","Total Pipe Cutter Tube Cutter 3-32mm for Copper and PVC","VOH-018","HSP-018","1694","Pipe Cutters","1655","Hand Tools","yes","yes"
"46705","Total Combination Spanner Wrench Set 6-24mm 9-Piece","VOH-028","HSP-028","1695","Wrench Sets","1655","Hand Tools","yes","yes"
"46706","Angle Grinder Polisher Buffing Machine 180mm 1800W Variable Speed","VOH-019","HSP-019","1696","Polishing Machines","1657","Power Tools","yes","yes"
"46707","Maxmech 2.5KVA Petrol Generator Single Phase Portable","VOH-040","HSP-040","1699","Petrol Generators","1697","Energy","yes","yes"
"46708","Total Electric Pressure Washer 1800W 150 Bar","VOH-034","HSP-034","1612","Pressure Washers","1588","Water Pumps","yes","yes"
"46709","Total Electric Lawn Mower 1800W 46cm Cutting Width Grass Collection","VOH-041","HSP-041","1702","Electric Mowers","1599","Home & Garden","yes","yes"
"46710","Total Digital Multimeter Auto-Ranging AC DC Voltage Current Resistance","VOH-017","HSP-017","1703","Multimeters","1657","Power Tools","yes","yes"
"46711","Staple Gun 140 Type Heavy Duty 14mm Staples with 1000 Staples","VOH-010","HSP-010","1704","Fastening Tools","1655","Hand Tools","yes","yes"
"46712","Total Chain Block 3-Ton 3 Metres Lift Hoist","VOH-013","HSP-013","1705","Hoisting Equipment","1655","Hand Tools","yes","yes"
"46713","Plastic Float Ball Valve 1/2 Inch for Water Tank Automatic Refill","VOH-032","HSP-032","1706","Float Valves","1585","Parts","yes","yes"
"46714","Brass Check Valve Non Return Valve 1 Inch Female Thread","VOH-030","HSP-030","1707","Check Valves","1585","Parts","yes","yes"
"46715","Brass Ball Valve 3/4 Inch Full Bore Lever Handle","VOH-029","HSP-029","1708","Ball Valves","1585","Parts","yes","yes"
"46716","Razor Wire Concertina Coil 45cm Diameter 10 Metre Roll Security","VOH-022","HSP-022","1709","Security Fencing","1671","Safety Tools","yes","yes"
"46717","Total Cordless Drill 12V Lithium-Ion 1.5Ah with 2 Batteries","VOH-006","HSP-006","1710","Cordless Drills","1657","Power Tools","yes","yes"
