"sku","title","product_id","status","media_id","source_url","message"
"HSP-062","Hisense Microwave Oven 20L HM720G7H","47072","image_failed","","https://images.hisensedealers.co.ke/hisense-hm720g7h-20l-microwave.jpg | https://ke.hisense.com/media/catalog/product/h/m/hm720g7h_main.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-062-2-hisense-microwave-oven-20l-hm720g7h.jpg https://ke.hisense.com/media/catalog/product/h/m/hm720g7h_main.jpg curl: (6) Could not resolve host: ke.hisense.com"
"HSP-063","AiLyons Electric Blender 1.5L AL-BL150","47050","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/ailyons-al-bl150-blender.jpg | https://overtech.co.ke/wp-content/uploads/ailyons-1-5l-blender.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-063-2-ailyons-electric-blender-1-5l-al-bl150.jpg https://overtech.co.ke/wp-content/uploads/ailyons-1-5l-blender.jpg curl: (22) The requested URL returned error: 404"
"HSP-064","AiLyons Stand Mixer 5L AL-SM500","47074","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/ailyons-stand-mixer-5l.jpg | https://overtech.co.ke/wp-content/uploads/ailyons-5l-stand-mixer.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-064-2-ailyons-stand-mixer-5l-al-sm500.jpg https://overtech.co.ke/wp-content/uploads/ailyons-5l-stand-mixer.jpg curl: (22) The requested URL returned error: 404"
"HSP-065","Electromate Electric Kettle 1.8L Stainless EM-EK18S","47075","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/electromate-1-8l-electric-kettle.jpg | https://rickelectronics.co.ke/wp-content/uploads/electromate-1-8l-stainless-kettle.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-065-2-electromate-electric-kettle-1-8l-stainless-em-ek18s.jpg https://rickelectronics.co.ke/wp-content/uploads/electromate-1-8l-stainless-kettle.jpg curl: (6) Could not resolve host: rickelectronics.co.ke"
"HSP-066","Nunix Dry & Steam Clothes Iron NX-IR22","47076","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/nunix-nx-ir22-steam-iron.jpg | https://skywave.co.ke/wp-content/uploads/nunix-steam-iron-2200w.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-066-2-nunix-dry-steam-clothes-iron-nx-ir22.jpg https://skywave.co.ke/wp-content/uploads/nunix-steam-iron-2200w.jpg curl: (22) The requested URL returned error: 404"
"HSP-067","LG Vacuum Cleaner Bagged 1600W VC3316NNTR","47051","image_failed","","https://www.lg.com/eastafrica/images/vacuum-cleaners/md07512001/gallery/VC3316NNTR-D-1.jpg | https://www.lg.com/eastafrica/images/vacuum-cleaners/md07512001/gallery/VC3316NNTR-D-2.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-067-2-lg-vacuum-cleaner-bagged-1600w-vc3316nntr.jpg https://www.lg.com/eastafrica/images/vacuum-cleaners/md07512001/gallery/VC3316NNTR-D-2.jpg curl: (22) The requested URL returned error: 404"
"HSP-068","AiLyons Air Purifier HEPA 3-Stage AL-AP360","47078","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/ailyons-air-purifier-hepa.jpg | https://overtech.co.ke/wp-content/uploads/ailyons-hepa-air-purifier.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-068-2-ailyons-air-purifier-hepa-3-stage-al-ap360.jpg https://overtech.co.ke/wp-content/uploads/ailyons-hepa-air-purifier.jpg curl: (22) The requested URL returned error: 404"
"HSP-069","LG Home Theatre System 2.1 DH3140S 300W","47079","image_failed","","https://www.lg.com/eastafrica/images/home-theater-systems/md07000001/gallery/DH3140S-D-1.jpg | https://www.lg.com/eastafrica/images/home-theater-systems/md07000001/gallery/DH3140S-D-2.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-069-2-lg-home-theatre-system-2-1-dh3140s-300w.jpg https://www.lg.com/eastafrica/images/home-theater-systems/md07000001/gallery/DH3140S-D-2.jpg curl: (22) The requested URL returned error: 404"
"HSP-070","Sonar Portable Bluetooth Speaker SN-BT60","47080","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/sonar-bluetooth-speaker-20w.jpg | https://overtech.co.ke/wp-content/uploads/sonar-portable-bt-speaker.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-070-2-sonar-portable-bluetooth-speaker-sn-bt60.jpg https://overtech.co.ke/wp-content/uploads/sonar-portable-bt-speaker.jpg curl: (22) The requested URL returned error: 404"
"HSP-071","GoldenTech Rich Electric Water Dispenser Floor GT-WD12H","47081","image_failed","","https://images.jumia.co.ke/unsafe/fit-in/500x500/filters:fill(white)/product/goldentech-rich-water-dispenser.jpg | https://overtech.co.ke/wp-content/uploads/goldentech-floor-water-dispenser.jpg","Command failed: curl.exe -k -L -s -S --fail --connect-timeout 20 --max-time 60 -A Mozilla/5.0 -o C:\Users\Eric\Documents\New project\repo-teacher-mwangi\outputs\hsp-new-product-images-20260416-hsp-new-images\hsp-071-2-goldentech-rich-electric-water-dispenser-floor-gt-wd12h.jpg https://overtech.co.ke/wp-content/uploads/goldentech-floor-water-dispenser.jpg curl: (22) The requested URL returned error: 404"
